player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Corey Kelly,174632,ED,BAYLOR,8,0,0,118,,,,,,,61.7,,,71.1,0,0,0,0,1,21,2,12,0
Matthew Klopfenstein,174633,TE,BAYLOR,12,0,0,118,,,75.3,,,,65.8,,,71.3,0,0,59,0,0,67,27,0,0
Hawkins Polley,174638,TE,BAYLOR,7,0,0,118,,,70.7,,,,68.4,,,67.8,0,0,33,0,0,15,0,0,0
Jacob Redding,174639,S,BAYLOR,11,2,0,118,59.9,,,,,,68.6,,,81.5,3,0,0,33,60,32,25,29,2
Dylan Schaub,174641,LS,BAYLOR,12,0,0,118,,,57.7,,,36.0,57.3,,,65.7,2,0,59,0,0,0,27,0,2
Trent Thomas,174644,ED,BAYLOR,6,0,0,118,59.1,,,,,,62.7,,,70.0,0,0,0,4,0,0,0,8,0
Sean Thompkins Jr.,174645,T,BAYLOR,1,0,0,118,,,60.0,,,,60.0,,,60.2,0,0,1,0,0,0,0,0,0
LeVar Thornton Jr.,174646,CB,BAYLOR,10,0,1,118,59.5,,,,,,41.3,,,71.9,0,1,0,39,28,0,0,2,0
Palmer Williams,174650,P,BAYLOR,12,0,0,118,,,67.0,,,,62.9,,73.9,69.0,0,1,59,0,0,0,27,0,0
Trey Wilson,174653,ED,SMU,5,0,0,287,59.7,,,,,,60.7,,,66.3,0,0,0,2,15,0,0,0,1
Rylan Barnes,174655,LB,IOWA STATE,9,1,0,193,,,,,,,65.3,,,72.6,0,0,0,0,35,16,2,1,3
Vince Benetti,174656,TE,IOWA STATE,9,0,0,193,,,,,,,61.7,,,73.4,0,0,0,0,7,0,0,34,0
Kai Black,174657,TE,IOWA STATE,3,0,0,193,,,,,,,61.1,,,68.6,0,0,0,0,0,3,0,1,0
Brendan Black,174658,G,IOWA STATE,11,0,0,193,,,76.8,,,,65.9,,,73.5,0,0,54,0,0,0,0,0,0
Benjamin Brahmer,174660,TE,IOWA STATE,12,0,0,193,,,56.5,,,,58.9,,,71.6,0,0,51,0,1,0,43,0,0
Kooper Ebel,174665,LB,IOWA STATE,12,0,0,193,59.8,,,,,,61.7,,,67.0,0,0,0,45,0,0,43,6,0
Carson Hansen,174669,HB,IOWA STATE,3,0,0,193,,,,58.9,,,59.9,,,67.6,0,0,0,0,0,13,0,0,0
Zaimir Hawk,174670,DI,IOWA STATE,5,0,0,193,58.2,,,,,,58.0,,,65.7,0,0,0,18,0,0,0,0,0
Ta'Shawn James,174672,S,IOWA STATE,8,0,0,193,59.9,,,,,,70.4,,,71.8,0,0,0,18,13,0,0,10,0
Joseph James Jean-Louis,174673,ED,N TEXAS,14,1,1,251,59.9,,,,,,61.1,,,42.7,0,1,0,1,63,36,32,42,1
Kyle Konrardy,174675,K,IOWA STATE,8,0,0,193,,87.8,,,71.7,,61.6,,,68.8,0,0,39,0,10,0,0,0,0
Caden Matson,174677,S,IOWA STATE,11,0,0,193,,,,,,,66.7,,,80.7,1,0,0,0,44,50,0,35,6
Ryan Millmore,174678,P,W MICHIGAN,14,0,0,347,,,67.2,,60.0,,57.5,,72.9,29.9,0,2,63,0,1,0,59,0,0
Beni Ngoyi,174680,CB,IOWA STATE,11,0,0,193,59.7,,,,,,47.4,,,37.9,0,1,0,35,0,39,14,34,0
Jamison Patton,174683,S,IOWA STATE,5,0,0,193,60.0,,,,,,61.4,,,65.3,0,0,0,9,4,0,0,2,0
Jack Sadowsky V,174685,LB,NWESTERN,13,0,0,256,60.1,,,,,,47.9,,,75.1,3,0,0,14,63,19,6,29,2
Cam Smith,174690,S,IOWA STATE,10,1,0,193,59.9,,,,,,64.1,,,82.2,1,1,0,7,40,39,19,30,0
Drew Surges,174691,S,IOWA STATE,12,2,0,193,59.8,,,,,,63.3,,,29.1,1,2,0,17,30,43,32,23,2
Tripp Walsh,174693,TE,IOWA STATE,12,0,0,193,,,66.0,57.5,,,61.3,,,70.3,0,0,17,0,0,50,0,0,0
Keyjuan Brown,174695,HB,LOUISVILLE,6,0,0,210,,,,72.2,,,60.2,,,73.8,1,0,0,0,12,18,0,10,1
Luke Burgess,174696,T,APP STATE,12,0,0,108,,,17.9,,,,30.4,,,65.8,0,0,58,0,0,0,0,0,0
Micah Carter,174697,ED,LOUISVILLE,12,0,0,210,59.4,,75.7,,,,47.8,,,28.6,0,2,62,6,0,0,5,2,0
Stanquan Clark,174698,LB,LOUISVILLE,5,0,0,210,60.1,,,,,,61.5,,,63.5,0,0,0,10,0,1,0,3,0
Saadiq Clements,174700,DI,N TEXAS,11,0,0,251,58.1,,,,,,58.0,,,66.4,0,0,0,24,0,0,0,1,0
AJ Green,174704,ED,LOUISVILLE,11,0,0,210,58.8,,,,,,89.6,,,71.5,0,0,0,19,0,0,0,9,0
Cataurus Hicks,174705,WR,PITTSBURGH,13,0,0,268,,,,64.2,,,62.1,,,73.3,0,0,0,0,1,61,6,4,0
Jamari Johnson,174706,TE,OREGON,15,0,0,264,,,75.6,,,,63.4,,,71.6,0,0,63,0,0,51,0,0,0
Jaedon King,174707,WR,LOUISVILLE,2,0,0,210,,,,,,,60.7,,,67.7,0,0,0,0,0,1,0,2,0
