player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Lyrik Rawls,144661,S,KANSAS,12,10,1,63.3,1,0,198,0,0,72.8,71.4,47.4,67.1,66.9,79.6,2,2,0,1,37,10.3,9,4,3,71.1,19,0,0,245,0,319,632,2,0,0,2,0,270,630,9,304,115,29,68,1,30,4,0,217,117,11.4
Raymond Gay II,144662,S,OKLA STATE,7,2,0,69.2,0,0,262,0,0,54.8,58.3,81.4,60.0,63.5,71.3,0,0,0,0,24,10.7,3,1,1,112.7,9,0,0,157,0,127,265,4,0,0,4,0,47,261,1,137,57,5,23,1,13,0,1,85,32,9.4
Kendal Daniels,144668,S,OKLAHOMA,13,9,0,67.7,0,0,261,1,0,79.1,77.4,53.7,66.3,76.4,63.3,1,8,0,0,26,16.1,9,2,2,88.0,21,1,0,192,3,265,541,92,0,0,92,0,57,449,46,230,196,27,38,9,31,10,1,139,92,6.6
Aden Kelley,144671,DI,OKLA STATE,12,4,0,,0,0,262,0,0,,55.7,56.1,57.3,55.9,52.4,0,3,0,0,,14.3,2,0,1,0.0,0,1,0,0,0,0,301,301,104,191,0,6,0,0,127,174,0,6,8,0,0,4,0,0,0,
Cam Smith,144672,CB,OKLA STATE,12,5,1,57.6,1,0,262,0,0,62.0,63.5,84.2,63.5,66.4,81.1,0,2,0,1,42,7.0,3,3,5,93.1,19,0,0,68,498,304,577,0,0,0,0,0,0,577,6,267,11,9,35,2,33,2,2,281,82,14.8
Landyn Watson,144699,LB,KENTUCKY,12,6,0,82.4,0,0,202,0,0,50.7,52.2,79.3,88.1,46.7,46.5,1,4,0,0,43,20.7,6,0,0,141.5,14,0,0,206,0,102,237,5,0,0,5,0,1,232,15,120,25,6,17,1,17,5,3,144,125,10.3
Da'Veawn Armstead,144700,CB,N TEXAS,14,6,0,59.1,0,0,251,0,0,71.1,68.7,84.9,53.3,57.6,65.9,0,1,0,2,33,15.7,8,5,4,62.0,26,0,0,76,599,326,702,5,0,0,5,0,4,697,3,373,17,10,37,3,44,1,1,233,112,9.0
D'Arco Perkins-McAllister,144701,CB,LA MONROE,11,2,1,55.8,0,0,209,0,0,64.6,63.4,84.3,79.7,45.7,50.5,0,1,0,0,73,24.4,10,4,3,94.7,24,4,0,63,356,286,488,6,0,0,6,0,3,482,7,195,60,17,29,0,43,5,1,396,186,16.5
Shad Banks Jr.,144702,LB,UTSA,13,20,0,73.1,1,1,331,3,1,53.2,69.4,56.3,84.9,72.9,63.4,7,10,1,3,26,14.6,15,2,1,65.7,19,1,0,677,0,351,713,11,0,1,9,1,5,702,56,306,20,39,68,3,26,18,1,184,86,9.7
Luke Lingard,144707,LB,TCU,1,0,0,,0,0,305,0,0,,60.0,62.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
