player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Zayn Bryant,151925,C,LOUCOL,1,100.0,0,958,45.9,32.4,50.3,0,0,28,100.0,100.0,100.0,0,0,0,63,63,0,0,63,30,30,0,0,33,0
Josef Fisher,152047,G,LOUCOL,1,100.0,0,958,50.3,0.2,61.3,0,3,28,100.0,100.0,91.1,0,4,1,63,0,60,0,63,30,30,0,3,33,0
Cam Frederick,152077,G,LOUCOL,1,100.0,0,958,49.9,26.8,52.1,0,2,28,100.0,100.0,96.4,0,2,0,63,0,0,0,63,30,30,63,0,33,0
Donte Lewis,152052,T,LOUCOL,1,100.0,0,958,66.9,70.7,63.5,0,0,28,100.0,100.0,100.0,0,0,0,63,0,0,63,63,30,30,0,0,33,0
Kamrin Porter,153380,G,BOWIE ST,1,100.0,0,365,59.6,89.0,47.9,0,0,41,100.0,100.0,100.0,0,0,0,62,0,0,0,62,44,44,62,0,18,0
Ivan Pena,152336,G,TXPERB,1,100.0,0,1268,53.1,28.5,56.3,0,2,31,100.0,100.0,96.8,0,2,0,62,0,62,0,62,34,34,0,0,28,0
Stefan Touani,64256,G,BOWIE ST,1,100.0,0,365,64.0,88.9,61.2,0,0,41,100.0,100.0,100.0,1,0,0,62,5,57,0,62,44,44,0,0,18,0
Terrence Jordan,152596,T,LANECOL,1,100.0,0,942,62.4,68.0,64.8,1,1,46,100.0,100.0,97.8,1,2,0,62,0,0,62,62,49,49,0,0,13,0
Saveyon Henderson,152603,T,LANECOL,1,100.0,0,942,59.8,55.5,60.9,0,1,46,100.0,100.0,96.7,1,2,1,62,0,0,0,62,49,49,0,62,13,0
Kameron Smith,91705,T,TUSKEGEE,1,100.0,0,405,72.4,77.1,67.8,1,0,36,100.0,100.0,95.8,0,2,1,62,0,0,62,62,38,38,0,0,24,0
Emanuel Boone,154080,C,FRTVLY,1,100.0,0,874,38.5,15.8,50.5,1,5,48,100.0,100.0,93.7,0,6,0,62,41,21,0,62,50,50,0,0,12,0
