player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Derron Moore,178202,LB,ARKAPB,10,20,0,73.7,0,0,112,1,0,31.8,44.9,34.3,60.5,58.9,60.0,1,5,0,0,65,14.1,9,1,1,155.2,14,0,0,328,0,153,376,12,0,0,12,0,0,364,34,189,35,21,35,4,19,6,3,244,135,17.4
Isaiah Summerlin,178204,S,DUQUESNE,2,0,0,25.0,0,0,155,0,0,60.8,61.2,76.2,,60.0,76.2,0,0,0,0,13,0.0,0,1,0,40.6,1,0,0,8,0,23,27,0,0,0,0,0,7,27,0,4,12,0,1,0,4,0,0,13,0,13.0
Brock Janeda,178208,S,DUQUESNE,1,0,0,100.0,0,0,155,0,0,63.2,63.0,70.6,,,,0,0,0,0,21,,0,0,0,118.8,1,0,0,1,0,8,8,0,0,0,0,0,6,8,0,0,1,0,0,0,1,0,0,21,0,21.0
Kevin O'Donnell,178209,LB,DUQUESNE,1,0,0,100.0,0,0,155,0,0,65.2,65.3,70.6,55.5,60.9,77.6,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,13,0,9,13,0,0,0,0,0,0,13,3,1,0,1,3,0,1,0,0,5,0,5.0
Michael Captline,178210,CB,DUQUESNE,2,0,0,50.0,0,0,155,0,0,71.7,72.5,71.4,,60.0,73.5,0,0,0,0,11,0.0,0,0,0,66.7,1,0,0,0,11,10,11,0,0,0,0,0,0,11,0,1,0,1,1,0,2,0,0,11,1,11.0
Jason Patterson,178222,ED,TEXAS STHN,7,2,2,50.0,2,0,313,0,0,87.7,74.4,0.2,69.4,69.6,56.7,1,15,0,0,-8,15.0,3,0,4,56.3,1,1,0,6,0,6,246,237,0,0,234,3,0,9,129,111,1,12,15,3,2,17,0,-8,-3,-8.0
Jack Dunkley,178229,ED,DUQUESNE,12,3,1,50.0,0,0,155,0,0,59.5,70.7,56.9,68.2,71.9,59.9,6,19,0,0,5,14.3,4,0,2,56.3,1,5,0,0,0,11,559,559,0,5,515,39,0,0,293,255,0,19,21,5,2,30,0,5,11,5.0
Sage Thomas,178232,LB,DUQUESNE,1,0,0,100.0,0,0,155,0,0,65.4,65.7,72.2,58.4,60.0,76.3,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,7,0,7,10,2,0,0,2,0,0,8,2,1,1,1,2,0,1,0,0,6,1,6.0
Preston Dukes,178233,WR,HAMPTON,1,0,0,,0,0,178,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Will Hicks,178234,S,HAMPTON,12,14,2,64.0,0,3,178,1,0,62.5,76.1,87.4,89.6,83.6,67.9,2,9,0,1,61,17.0,15,2,1,105.8,16,4,0,388,8,307,722,33,0,0,33,0,126,689,33,382,167,19,59,3,25,15,2,242,165,15.1
Noa Calaycay,178246,CB,IDAHO ST,8,4,0,63.0,0,1,186,1,0,61.5,62.3,81.8,71.1,59.3,48.6,1,0,0,0,19,24.0,6,0,0,102.4,17,1,0,16,231,151,263,0,0,0,0,0,0,263,3,109,15,2,15,0,27,2,2,150,50,8.8
Nathan Reynolds,178250,LB,IDAHO ST,12,22,0,76.3,1,0,186,0,0,51.7,64.2,88.7,53.5,74.4,58.7,1,6,0,1,31,15.8,16,1,1,83.9,29,0,0,518,3,304,680,106,0,0,106,0,3,574,62,314,50,29,63,3,38,7,0,266,245,9.2
Ian Duarte,178254,WR,IDAHO ST,2,0,0,,0,0,186,0,0,,60.0,61.8,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,
Dekker Haggler,178256,S,IDAHO ST,12,10,0,86.7,0,0,186,0,0,63.2,64.9,82.3,55.6,67.5,80.3,0,0,0,0,22,7.9,3,2,0,138.5,13,0,0,226,1,199,378,10,0,0,10,0,37,368,5,174,103,9,25,1,15,0,3,116,74,8.9
Adam Watts,178262,WR,IDAHO ST,1,0,0,,0,0,186,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Sanborne Melson,178264,CB,IDAHO ST,2,0,0,,0,0,186,0,0,66.9,67.2,72.9,,60.0,73.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,21,14,22,0,0,0,0,0,0,22,0,8,0,0,1,0,0,0,0,0,0,
Jacob Perez,178269,LB,IDAHO ST,10,4,0,83.3,0,0,186,0,0,51.8,63.8,80.2,64.3,74.1,57.9,0,1,0,0,36,17.9,5,0,0,125.7,10,1,0,160,0,80,177,7,0,0,7,0,0,170,14,83,9,14,19,2,12,2,1,90,70,9.0
Joseph Perez-Garibay,178279,DI,FURMAN,2,0,0,,0,0,170,0,0,,64.5,72.1,62.6,61.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,11,3,0,0,0,0,0,1,0,0,0,
Beau Jaques,178280,ED,IDAHO ST,12,5,0,,0,0,186,0,0,61.1,72.2,52.4,63.8,74.9,72.7,0,5,0,0,,8.3,2,0,1,0.0,0,2,0,0,0,0,263,263,0,46,146,71,0,0,135,128,0,18,17,1,0,7,0,0,0,
Malik Richardson,178282,DI,IDAHO ST,10,2,1,,0,0,186,0,0,58.7,58.7,78.7,57.5,60.4,38.9,0,1,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,107,107,14,87,0,6,0,0,56,51,0,3,3,0,0,1,0,0,0,
Joshua Iseah,178291,LB,NC A&T,12,19,0,81.8,0,0,246,0,0,75.7,76.2,57.9,65.3,74.2,73.2,3,7,0,2,22,11.6,11,2,1,59.3,18,1,0,668,2,351,734,23,0,0,23,0,0,711,49,334,41,43,65,6,22,11,0,161,77,8.9
Kade Moledor,178293,LB,WOFFORD,10,19,0,75.0,0,0,350,0,0,62.1,73.0,81.3,56.4,83.0,71.1,0,4,0,1,73,11.3,6,1,0,95.8,15,0,0,317,0,169,380,20,0,2,18,0,3,360,34,177,40,20,28,1,20,4,0,295,207,19.7
Terien George,178300,LB,NC A&T,8,7,0,100.0,0,0,246,0,0,68.1,68.2,77.8,55.3,66.7,71.5,0,0,0,0,11,7.7,1,0,0,112.5,1,0,0,111,0,52,132,7,0,0,7,0,0,125,6,74,13,2,5,0,1,0,0,11,6,11.0
Kelvin Broadhurst Jr.,178308,DI,NC A&T,7,1,0,,0,0,246,0,0,60.0,59.8,80.3,52.8,63.5,73.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,145,145,14,129,1,1,0,0,72,73,0,2,2,0,0,1,0,0,0,
Giovanni Divers,178309,DI,NC A&T,4,1,0,,0,0,246,0,0,,64.6,79.0,57.3,66.7,55.7,0,2,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,89,89,0,54,28,7,0,0,37,52,0,4,4,0,0,2,0,0,0,
